dme:Dmel_CG10000	ncbi-geneid:43394
dme:Dmel_CG10077	ncbi-geneid:38756
dme:Dmel_CG10078	ncbi-geneid:38753
dme:Dmel_CG10079	ncbi-geneid:37455
dme:Dmel_CG10080	ncbi-geneid:37462
dme:Dmel_CG10081	ncbi-geneid:37226
dme:Dmel_CG10082	ncbi-geneid:37465
dme:Dmel_CG10083	ncbi-geneid:39520
dme:Dmel_CG10084	ncbi-geneid:35235
dme:Dmel_CG10086	ncbi-geneid:40920
dme:Dmel_CG10089	ncbi-geneid:39517
dme:Dmel_CG1009	ncbi-geneid:38175
dme:Dmel_CG10090	ncbi-geneid:41500
dme:Dmel_CG10091	ncbi-geneid:41502
dme:Dmel_CG10092	ncbi-geneid:40929
dme:Dmel_CG10093	ncbi-geneid:41488
dme:Dmel_CG10094	ncbi-geneid:41487
dme:Dmel_CG10095	ncbi-geneid:41473
dme:Dmel_CG10096	ncbi-geneid:3772183
dme:Dmel_CG10097	ncbi-geneid:3771756
dme:Dmel_CG10098	ncbi-geneid:40851
dme:Dmel_CG10101	ncbi-geneid:40891
dme:Dmel_CG10103	ncbi-geneid:38750
dme:Dmel_CG10104	ncbi-geneid:36602
dme:Dmel_CG10105	ncbi-geneid:36604
dme:Dmel_CG10106	ncbi-geneid:35614
dme:Dmel_CG10107	ncbi-geneid:38748
dme:Dmel_CG10108	ncbi-geneid:36606
dme:Dmel_CG10110	ncbi-geneid:44250
dme:Dmel_CG10112	ncbi-geneid:36613
dme:Dmel_CG10113	ncbi-geneid:40892
dme:Dmel_CG10116	ncbi-geneid:39515
dme:Dmel_CG10117	ncbi-geneid:36614
dme:Dmel_CG10118	ncbi-geneid:38746
dme:Dmel_CG10119	ncbi-geneid:36615
dme:Dmel_CG10120	ncbi-geneid:47173
dme:Dmel_CG10121	ncbi-geneid:38744
dme:Dmel_CG10122	ncbi-geneid:36617
dme:Dmel_CG10123	ncbi-geneid:35236
dme:Dmel_CG10124	ncbi-geneid:38743
dme:Dmel_CG10125	ncbi-geneid:251414
dme:Dmel_CG10126	ncbi-geneid:41579
dme:Dmel_CG10128	ncbi-geneid:36619
dme:Dmel_CG10129	ncbi-geneid:38738
dme:Dmel_CG10130	ncbi-geneid:46080
dme:Dmel_CG10131	ncbi-geneid:36624
dme:Dmel_CG10132	ncbi-geneid:35239
dme:Dmel_CG10133	ncbi-geneid:39514
dme:Dmel_CG10134	ncbi-geneid:41578
dme:Dmel_CG10137	ncbi-geneid:35241
dme:Dmel_CG10138	ncbi-geneid:44148
dme:Dmel_CG10139	ncbi-geneid:36626
dme:Dmel_CG1014	ncbi-geneid:38170
dme:Dmel_CG10140	ncbi-geneid:39511
dme:Dmel_CG10142	ncbi-geneid:37980
dme:Dmel_CG10143	ncbi-geneid:36627
dme:Dmel_CG10144	ncbi-geneid:38735
dme:Dmel_CG10145	ncbi-geneid:36632
dme:Dmel_CG10146	ncbi-geneid:36636
dme:Dmel_CG10147	ncbi-geneid:38733
dme:Dmel_CG10149	ncbi-geneid:36638
dme:Dmel_CG10151	ncbi-geneid:36639
dme:Dmel_CG10152	ncbi-geneid:42778
dme:Dmel_CG10153	ncbi-geneid:36641
dme:Dmel_CG10154	ncbi-geneid:39509
dme:Dmel_CG10155	ncbi-geneid:36643
dme:Dmel_CG10157	ncbi-geneid:42788
dme:Dmel_CG10158	ncbi-geneid:33971
dme:Dmel_CG10159	ncbi-geneid:36645
dme:Dmel_CG10160	ncbi-geneid:45880
dme:Dmel_CG10161	ncbi-geneid:42789
dme:Dmel_CG10163	ncbi-geneid:38728
dme:Dmel_CG10164	ncbi-geneid:42777
dme:Dmel_CG10165	ncbi-geneid:35242
dme:Dmel_CG10166	ncbi-geneid:35240
dme:Dmel_CG10168	ncbi-geneid:42776
dme:Dmel_CG1017	ncbi-geneid:38256
dme:Dmel_CG10170	ncbi-geneid:42774
dme:Dmel_CG10171	ncbi-geneid:39501
dme:Dmel_CG10173	ncbi-geneid:38727
dme:Dmel_CG10174	ncbi-geneid:35101
dme:Dmel_CG10175	ncbi-geneid:42773
dme:Dmel_CG10176	ncbi-geneid:35103
dme:Dmel_CG10177	ncbi-geneid:42772
dme:Dmel_CG10178	ncbi-geneid:35105
dme:Dmel_CG10181	ncbi-geneid:38726
dme:Dmel_CG10182	ncbi-geneid:42780
dme:Dmel_CG10183	ncbi-geneid:42782
dme:Dmel_CG10184	ncbi-geneid:42783
dme:Dmel_CG10185	ncbi-geneid:41953
dme:Dmel_CG10186	ncbi-geneid:35238
dme:Dmel_CG10188	ncbi-geneid:35237
dme:Dmel_CG10189	ncbi-geneid:35234
dme:Dmel_CG1019	ncbi-geneid:40849
dme:Dmel_CG10191	ncbi-geneid:39502
dme:Dmel_CG10192	ncbi-geneid:42819
dme:Dmel_CG10194	ncbi-geneid:35231
dme:Dmel_CG10195	ncbi-geneid:35228
dme:Dmel_CG10197	ncbi-geneid:45318
dme:Dmel_CG10198	ncbi-geneid:42816
dme:Dmel_CG10200	ncbi-geneid:36648
dme:Dmel_CG10202	ncbi-geneid:36649
dme:Dmel_CG10203	ncbi-geneid:33967
dme:Dmel_CG10205	ncbi-geneid:36650
dme:Dmel_CG10206	ncbi-geneid:33966
dme:Dmel_CG10207	ncbi-geneid:36651
dme:Dmel_CG10208	ncbi-geneid:42814
dme:Dmel_CG10209	ncbi-geneid:36652
dme:Dmel_CG1021	ncbi-geneid:40792
dme:Dmel_CG10210	ncbi-geneid:42813
dme:Dmel_CG10211	ncbi-geneid:35106
dme:Dmel_CG10212	ncbi-geneid:36653
dme:Dmel_CG10214	ncbi-geneid:42811
dme:Dmel_CG10215	ncbi-geneid:36654
dme:Dmel_CG10217	ncbi-geneid:42809
dme:Dmel_CG10219	ncbi-geneid:42808
dme:Dmel_CG10221	ncbi-geneid:42806
dme:Dmel_CG10222	ncbi-geneid:39504
dme:Dmel_CG10223	ncbi-geneid:35225
dme:Dmel_CG10225	ncbi-geneid:42804
dme:Dmel_CG10226	ncbi-geneid:38725
dme:Dmel_CG10228	ncbi-geneid:36658
dme:Dmel_CG10229	ncbi-geneid:53566
dme:Dmel_CG10230	ncbi-geneid:42802
dme:Dmel_CG10232	ncbi-geneid:42800
dme:Dmel_CG10233	ncbi-geneid:40627
dme:Dmel_CG10234	ncbi-geneid:44433
dme:Dmel_CG10236	ncbi-geneid:38723
dme:Dmel_CG10237	ncbi-geneid:35222
dme:Dmel_CG10238	ncbi-geneid:43017
dme:Dmel_CG1024	ncbi-geneid:40789
dme:Dmel_CG10240	ncbi-geneid:49847
dme:Dmel_CG10241	ncbi-geneid:45556
dme:Dmel_CG10242	ncbi-geneid:36661
dme:Dmel_CG10243	ncbi-geneid:36662
dme:Dmel_CG10244	ncbi-geneid:43026
dme:Dmel_CG10245	ncbi-geneid:36664
dme:Dmel_CG10246	ncbi-geneid:36663
dme:Dmel_CG10247	ncbi-geneid:36665
dme:Dmel_CG10248	ncbi-geneid:36666
dme:Dmel_CG10249	ncbi-geneid:36668
dme:Dmel_CG10250	ncbi-geneid:42799
dme:Dmel_CG10251	ncbi-geneid:117368
dme:Dmel_CG10252	ncbi-geneid:42794
dme:Dmel_CG10253	ncbi-geneid:36669
dme:Dmel_CG10254	ncbi-geneid:42793
dme:Dmel_CG10255	ncbi-geneid:36670
dme:Dmel_CG10257	ncbi-geneid:36671
dme:Dmel_CG10260	ncbi-geneid:31247
dme:Dmel_CG10262	ncbi-geneid:35257
dme:Dmel_CG10263	ncbi-geneid:35256
dme:Dmel_CG10264	ncbi-geneid:41948
dme:Dmel_CG10265	ncbi-geneid:36676
dme:Dmel_CG10267	ncbi-geneid:40795
dme:Dmel_CG10268	ncbi-geneid:35255
dme:Dmel_CG10269	ncbi-geneid:38718
dme:Dmel_CG10270	ncbi-geneid:38717
dme:Dmel_CG10274	ncbi-geneid:38716
dme:Dmel_CG10275	ncbi-geneid:35104
dme:Dmel_CG10277	ncbi-geneid:40791
dme:Dmel_CG10278	ncbi-geneid:41945
dme:Dmel_CG10279	ncbi-geneid:40739
dme:Dmel_CG1028	ncbi-geneid:40835
dme:Dmel_CG10280	ncbi-geneid:40740
dme:Dmel_CG10281	ncbi-geneid:40790
dme:Dmel_CG10283	ncbi-geneid:35102
dme:Dmel_CG10286	ncbi-geneid:40786
dme:Dmel_CG10287	ncbi-geneid:40745
dme:Dmel_CG10289	ncbi-geneid:38714
dme:Dmel_CG10293	ncbi-geneid:42596
dme:Dmel_CG10295	ncbi-geneid:44039
dme:Dmel_CG10296	ncbi-geneid:40783
dme:Dmel_CG10297	ncbi-geneid:38710
dme:Dmel_CG10298	ncbi-geneid:40779
dme:Dmel_CG1030	ncbi-geneid:40833
dme:Dmel_CG10300	ncbi-geneid:42798
dme:Dmel_CG10301	ncbi-geneid:42797
dme:Dmel_CG10302	ncbi-geneid:35100
dme:Dmel_CG10303	ncbi-geneid:40758
dme:Dmel_CG10305	ncbi-geneid:35098
dme:Dmel_CG10306	ncbi-geneid:37475
dme:Dmel_CG10307	ncbi-geneid:37477
dme:Dmel_CG10308	ncbi-geneid:38428
dme:Dmel_CG10309	ncbi-geneid:41981
dme:Dmel_CG1031	ncbi-geneid:40909
dme:Dmel_CG10311	ncbi-geneid:41984
dme:Dmel_CG10315	ncbi-geneid:37706
dme:Dmel_CG10317	ncbi-geneid:41987
dme:Dmel_CG10318	ncbi-geneid:37471
dme:Dmel_CG10320	ncbi-geneid:37466
dme:Dmel_CG10321	ncbi-geneid:37464
dme:Dmel_CG10324	ncbi-geneid:42028
dme:Dmel_CG10325	ncbi-geneid:42037
dme:Dmel_CG10326	ncbi-geneid:42027
dme:Dmel_CG10327	ncbi-geneid:37781
dme:Dmel_CG10328	ncbi-geneid:42026
dme:Dmel_CG10332	ncbi-geneid:37735
dme:Dmel_CG10333	ncbi-geneid:35112
dme:Dmel_CG10334	ncbi-geneid:35253
dme:Dmel_CG10335	ncbi-geneid:39402
dme:Dmel_CG10336	ncbi-geneid:35122
dme:Dmel_CG10337	ncbi-geneid:35247
dme:Dmel_CG10338	ncbi-geneid:35124
dme:Dmel_CG10339	ncbi-geneid:37854
dme:Dmel_CG1034	ncbi-geneid:40830
dme:Dmel_CG10340	ncbi-geneid:42020
dme:Dmel_CG10341	ncbi-geneid:35125
dme:Dmel_CG10342	ncbi-geneid:42018
dme:Dmel_CG10343	ncbi-geneid:35127
dme:Dmel_CG10344	ncbi-geneid:37565
dme:Dmel_CG10345	ncbi-geneid:42017
dme:Dmel_CG10346	ncbi-geneid:35130
dme:Dmel_CG10347	ncbi-geneid:32141
dme:Dmel_CG10348	ncbi-geneid:35132
dme:Dmel_CG10352	ncbi-geneid:32147
dme:Dmel_CG10353	ncbi-geneid:32148
dme:Dmel_CG10354	ncbi-geneid:33964
dme:Dmel_CG10357	ncbi-geneid:38435
dme:Dmel_CG10359	ncbi-geneid:38434
dme:Dmel_CG10360	ncbi-geneid:35246
dme:Dmel_CG10361	ncbi-geneid:39333
dme:Dmel_CG10362	ncbi-geneid:32157
dme:Dmel_CG10363	ncbi-geneid:35248
dme:Dmel_CG10364	ncbi-geneid:35254
dme:Dmel_CG10365	ncbi-geneid:42801
dme:Dmel_CG10366	ncbi-geneid:35258
dme:Dmel_CG10367	ncbi-geneid:42803
dme:Dmel_CG10369	ncbi-geneid:35131
dme:Dmel_CG10370	ncbi-geneid:42805
dme:Dmel_CG10371	ncbi-geneid:42807
dme:Dmel_CG10372	ncbi-geneid:35129
dme:Dmel_CG10373	ncbi-geneid:35128
dme:Dmel_CG10374	ncbi-geneid:42810
dme:Dmel_CG10375	ncbi-geneid:42812
dme:Dmel_CG10376	ncbi-geneid:35126
dme:Dmel_CG10377	ncbi-geneid:33968
dme:Dmel_CG10379	ncbi-geneid:42817
dme:Dmel_CG10382	ncbi-geneid:37555
dme:Dmel_CG10383	ncbi-geneid:35123
dme:Dmel_CG10384	ncbi-geneid:37567
dme:Dmel_CG10385	ncbi-geneid:35121
dme:Dmel_CG10387	ncbi-geneid:35119
dme:Dmel_CG10388	ncbi-geneid:42034
dme:Dmel_CG10390	ncbi-geneid:40667
dme:Dmel_CG10391	ncbi-geneid:35115
dme:Dmel_CG10392	ncbi-geneid:35486
dme:Dmel_CG10393	ncbi-geneid:35110
dme:Dmel_CG10395	ncbi-geneid:35490
dme:Dmel_CG10396	ncbi-geneid:35491
dme:Dmel_CG10399	ncbi-geneid:33978
dme:Dmel_CG10405	ncbi-geneid:41996
dme:Dmel_CG10406	ncbi-geneid:41991
dme:Dmel_CG10407	ncbi-geneid:41949
dme:Dmel_CG1041	ncbi-geneid:40787
dme:Dmel_CG10413	ncbi-geneid:35111
dme:Dmel_CG10414	ncbi-geneid:35113
dme:Dmel_CG10415	ncbi-geneid:39313
dme:Dmel_CG10417	ncbi-geneid:35492
dme:Dmel_CG10418	ncbi-geneid:39408
dme:Dmel_CG10419	ncbi-geneid:40087
dme:Dmel_CG10420	ncbi-geneid:43034
dme:Dmel_CG10422	ncbi-geneid:43038
dme:Dmel_CG10423	ncbi-geneid:43039
dme:Dmel_CG10424	ncbi-geneid:40085
dme:Dmel_CG10425	ncbi-geneid:43043
dme:Dmel_CG10426	ncbi-geneid:39404
dme:Dmel_CG10428	ncbi-geneid:35150
dme:Dmel_CG10431	ncbi-geneid:35157
dme:Dmel_CG10433	ncbi-geneid:37458
dme:Dmel_CG10435	ncbi-geneid:40948
dme:Dmel_CG10436	ncbi-geneid:39411
dme:Dmel_CG1044	ncbi-geneid:38321
dme:Dmel_CG10440	ncbi-geneid:37456
dme:Dmel_CG10443	ncbi-geneid:35259
dme:Dmel_CG10444	ncbi-geneid:37294
dme:Dmel_CG10445	ncbi-geneid:40938
dme:Dmel_CG10446	ncbi-geneid:35168
dme:Dmel_CG10447	ncbi-geneid:35261
dme:Dmel_CG10449	ncbi-geneid:48805
dme:Dmel_CG10459	ncbi-geneid:36000
dme:Dmel_CG1046	ncbi-geneid:40828
dme:Dmel_CG10460	ncbi-geneid:37229
dme:Dmel_CG10462	ncbi-geneid:35260
dme:Dmel_CG10463	ncbi-geneid:35264
dme:Dmel_CG10465	ncbi-geneid:35488
dme:Dmel_CG10466	ncbi-geneid:35268
dme:Dmel_CG10467	ncbi-geneid:38697
dme:Dmel_CG10469	ncbi-geneid:38696
dme:Dmel_CG10470	ncbi-geneid:35174
dme:Dmel_CG10472	ncbi-geneid:38688
dme:Dmel_CG10473	ncbi-geneid:35173
dme:Dmel_CG10474	ncbi-geneid:37211
dme:Dmel_CG10475	ncbi-geneid:38685
dme:Dmel_CG10476	ncbi-geneid:37210
dme:Dmel_CG10477	ncbi-geneid:38679
dme:Dmel_CG10478	ncbi-geneid:38675
dme:Dmel_CG10479	ncbi-geneid:38674
dme:Dmel_CG1048	ncbi-geneid:40827
dme:Dmel_CG10480	ncbi-geneid:38669
dme:Dmel_CG10481	ncbi-geneid:35273
dme:Dmel_CG10483	ncbi-geneid:38666
dme:Dmel_CG10486	ncbi-geneid:38664
dme:Dmel_CG10488	ncbi-geneid:39419
dme:Dmel_CG10489	ncbi-geneid:38661
dme:Dmel_CG1049	ncbi-geneid:117353
dme:Dmel_CG10491	ncbi-geneid:38657
dme:Dmel_CG10492	ncbi-geneid:35177
dme:Dmel_CG10493	ncbi-geneid:35178
dme:Dmel_CG10494	ncbi-geneid:37453
dme:Dmel_CG10495	ncbi-geneid:35179
dme:Dmel_CG10496	ncbi-geneid:37450
dme:Dmel_CG10497	ncbi-geneid:37447
dme:Dmel_CG10498	ncbi-geneid:42453
dme:Dmel_CG10501	ncbi-geneid:35188
dme:Dmel_CG10504	ncbi-geneid:53573
dme:Dmel_CG10505	ncbi-geneid:37428
dme:Dmel_CG10506	ncbi-geneid:45786
dme:Dmel_CG10508	ncbi-geneid:40342
dme:Dmel_CG10510	ncbi-geneid:40341
dme:Dmel_CG10512	ncbi-geneid:40339
dme:Dmel_CG10513	ncbi-geneid:43051
dme:Dmel_CG10514	ncbi-geneid:43052
dme:Dmel_CG10516	ncbi-geneid:39738
dme:Dmel_CG10520	ncbi-geneid:40554
dme:Dmel_CG10521	ncbi-geneid:32400
dme:Dmel_CG10522	ncbi-geneid:39429
dme:Dmel_CG10523	ncbi-geneid:40336
dme:Dmel_CG10527	ncbi-geneid:37393
dme:Dmel_CG10528	ncbi-geneid:49505
dme:Dmel_CG10529	ncbi-geneid:45018
dme:Dmel_CG10530	ncbi-geneid:38703
dme:Dmel_CG10531	ncbi-geneid:37392
dme:Dmel_CG10533	ncbi-geneid:45017
dme:Dmel_CG10534	ncbi-geneid:38702
dme:Dmel_CG10535	ncbi-geneid:41399
dme:Dmel_CG10537	ncbi-geneid:39054
dme:Dmel_CG10538	ncbi-geneid:35267
dme:Dmel_CG10539	ncbi-geneid:38654
dme:Dmel_CG10540	ncbi-geneid:37387
dme:Dmel_CG10541	ncbi-geneid:38653
dme:Dmel_CG10542	ncbi-geneid:38652
dme:Dmel_CG10543	ncbi-geneid:37379
dme:Dmel_CG10545	ncbi-geneid:32544
dme:Dmel_CG10546	ncbi-geneid:38651
dme:Dmel_CG10550	ncbi-geneid:43061
dme:Dmel_CG10553	ncbi-geneid:43064
dme:Dmel_CG10555	ncbi-geneid:31771
dme:Dmel_CG10559	ncbi-geneid:43063
dme:Dmel_CG1056	ncbi-geneid:40575
dme:Dmel_CG10560	ncbi-geneid:43065
dme:Dmel_CG10561	ncbi-geneid:35189
dme:Dmel_CG10562	ncbi-geneid:43066
dme:Dmel_CG10563	ncbi-geneid:35193
dme:Dmel_CG10564	ncbi-geneid:40333
dme:Dmel_CG10565	ncbi-geneid:40332
dme:Dmel_CG10566	ncbi-geneid:40331
dme:Dmel_CG1057	ncbi-geneid:40577
dme:Dmel_CG10570	ncbi-geneid:50466
dme:Dmel_CG10571	ncbi-geneid:39439
dme:Dmel_CG10572	ncbi-geneid:39157
dme:Dmel_CG10573	ncbi-geneid:40330
dme:Dmel_CG10574	ncbi-geneid:39156
dme:Dmel_CG10575	ncbi-geneid:38647
dme:Dmel_CG10576	ncbi-geneid:38645
dme:Dmel_CG10578	ncbi-geneid:38643
dme:Dmel_CG10579	ncbi-geneid:38433
dme:Dmel_CG1058	ncbi-geneid:40580
dme:Dmel_CG10580	ncbi-geneid:40314
dme:Dmel_CG10581	ncbi-geneid:40326
dme:Dmel_CG10582	ncbi-geneid:40325
dme:Dmel_CG10583	ncbi-geneid:38640
dme:Dmel_CG10584	ncbi-geneid:40324
dme:Dmel_CG10585	ncbi-geneid:40323
dme:Dmel_CG10586	ncbi-geneid:40315
dme:Dmel_CG10587	ncbi-geneid:40318
dme:Dmel_CG10588	ncbi-geneid:40316
dme:Dmel_CG10589	ncbi-geneid:40313
dme:Dmel_CG1059	ncbi-geneid:40581
dme:Dmel_CG10590	ncbi-geneid:38635
dme:Dmel_CG10591	ncbi-geneid:38634
dme:Dmel_CG10592	ncbi-geneid:38632
dme:Dmel_CG10593	ncbi-geneid:34189
dme:Dmel_CG10594	ncbi-geneid:38631
dme:Dmel_CG10596	ncbi-geneid:38629
dme:Dmel_CG10597	ncbi-geneid:32714
dme:Dmel_CG10598	ncbi-geneid:32713
dme:Dmel_CG10600	ncbi-geneid:35142
dme:Dmel_CG10601	ncbi-geneid:39441
dme:Dmel_CG10602	ncbi-geneid:35146
dme:Dmel_CG10603	ncbi-geneid:35145
dme:Dmel_CG10604	ncbi-geneid:35266
dme:Dmel_CG10605	ncbi-geneid:39440
dme:Dmel_CG10609	ncbi-geneid:40650
dme:Dmel_CG10610	ncbi-geneid:40732
dme:Dmel_CG10612	ncbi-geneid:40648
dme:Dmel_CG10616	ncbi-geneid:39420
dme:Dmel_CG10617	ncbi-geneid:32290
dme:Dmel_CG10618	ncbi-geneid:43067
dme:Dmel_CG10619	ncbi-geneid:35147
dme:Dmel_CG10620	ncbi-geneid:39435
dme:Dmel_CG10621	ncbi-geneid:35152
dme:Dmel_CG10622	ncbi-geneid:44001
dme:Dmel_CG10623	ncbi-geneid:35153
dme:Dmel_CG10624	ncbi-geneid:46187
dme:Dmel_CG10625	ncbi-geneid:38624
dme:Dmel_CG10626	ncbi-geneid:38622
dme:Dmel_CG10627	ncbi-geneid:39434
dme:Dmel_CG10628	ncbi-geneid:35263
dme:Dmel_CG1063	ncbi-geneid:40664
dme:Dmel_CG10630	ncbi-geneid:38620
dme:Dmel_CG10631	ncbi-geneid:35262
dme:Dmel_CG10632	ncbi-geneid:39438
dme:Dmel_CG10633	ncbi-geneid:38616
dme:Dmel_CG10635	ncbi-geneid:38615
dme:Dmel_CG10637	ncbi-geneid:35154
dme:Dmel_CG10638	ncbi-geneid:39424
dme:Dmel_CG10639	ncbi-geneid:35156
dme:Dmel_CG1064	ncbi-geneid:40657
dme:Dmel_CG10640	ncbi-geneid:38613
dme:Dmel_CG10641	ncbi-geneid:35158
dme:Dmel_CG10642	ncbi-geneid:38611
dme:Dmel_CG10645	ncbi-geneid:38610
dme:Dmel_CG10646	ncbi-geneid:39426
dme:Dmel_CG10648	ncbi-geneid:31818
dme:Dmel_CG1065	ncbi-geneid:38447
dme:Dmel_CG10650	ncbi-geneid:35162
dme:Dmel_CG10651	ncbi-geneid:35303
dme:Dmel_CG10652	ncbi-geneid:44059
dme:Dmel_CG10653	ncbi-geneid:35169
dme:Dmel_CG10654	ncbi-geneid:39428
dme:Dmel_CG10655	ncbi-geneid:49427
dme:Dmel_CG10657	ncbi-geneid:39423
dme:Dmel_CG10658	ncbi-geneid:44038
dme:Dmel_CG10659	ncbi-geneid:35285
dme:Dmel_CG10660	ncbi-geneid:39422
dme:Dmel_CG10663	ncbi-geneid:39421
dme:Dmel_CG10664	ncbi-geneid:35279
dme:Dmel_CG10667	ncbi-geneid:35686
dme:Dmel_CG10669	ncbi-geneid:43069
dme:Dmel_CG10670	ncbi-geneid:38594
dme:Dmel_CG10671	ncbi-geneid:38596
dme:Dmel_CG10672	ncbi-geneid:38598
dme:Dmel_CG10673	ncbi-geneid:38600
dme:Dmel_CG10674	ncbi-geneid:38602
dme:Dmel_CG10675	ncbi-geneid:43068
dme:Dmel_CG10679	ncbi-geneid:35151
dme:Dmel_CG10680	ncbi-geneid:35282
dme:Dmel_CG10681	ncbi-geneid:39425
dme:Dmel_CG10682	ncbi-geneid:44118
dme:Dmel_CG10683	ncbi-geneid:44879
dme:Dmel_CG10685	ncbi-geneid:35196
dme:Dmel_CG10686	ncbi-geneid:39430
dme:Dmel_CG10687	ncbi-geneid:35194
dme:Dmel_CG10688	ncbi-geneid:39436
dme:Dmel_CG10689	ncbi-geneid:35192
dme:Dmel_CG10691	ncbi-geneid:49168
dme:Dmel_CG10692	ncbi-geneid:34632
dme:Dmel_CG10693	ncbi-geneid:42940
dme:Dmel_CG10694	ncbi-geneid:42855
dme:Dmel_CG10695	ncbi-geneid:31593
dme:Dmel_CG10697	ncbi-geneid:35190
dme:Dmel_CG10698	ncbi-geneid:39409
dme:Dmel_CG10699	ncbi-geneid:35184
dme:Dmel_CG1070	ncbi-geneid:40850
dme:Dmel_CG10700	ncbi-geneid:35183
dme:Dmel_CG10701	ncbi-geneid:31816
dme:Dmel_CG10702	ncbi-geneid:35181
dme:Dmel_CG10703	ncbi-geneid:41350
dme:Dmel_CG10704	ncbi-geneid:39418
dme:Dmel_CG10706	ncbi-geneid:31456
dme:Dmel_CG1071	ncbi-geneid:35381
dme:Dmel_CG10710	ncbi-geneid:39525
dme:Dmel_CG10711	ncbi-geneid:39523
dme:Dmel_CG10712	ncbi-geneid:40508
dme:Dmel_CG10713	ncbi-geneid:39508
dme:Dmel_CG10717	ncbi-geneid:39499
dme:Dmel_CG10718	ncbi-geneid:35293
dme:Dmel_CG10719	ncbi-geneid:35197
dme:Dmel_CG1072	ncbi-geneid:38451
dme:Dmel_CG10721	ncbi-geneid:35296
dme:Dmel_CG10722	ncbi-geneid:35298
dme:Dmel_CG10723	ncbi-geneid:35300
dme:Dmel_CG10724	ncbi-geneid:39505
dme:Dmel_CG10725	ncbi-geneid:39510
dme:Dmel_CG10726	ncbi-geneid:35287
dme:Dmel_CG10728	ncbi-geneid:35289
dme:Dmel_CG10730	ncbi-geneid:35291
dme:Dmel_CG10731	ncbi-geneid:3772305
dme:Dmel_CG10732	ncbi-geneid:39513
dme:Dmel_CG10733	ncbi-geneid:38698
dme:Dmel_CG10734	ncbi-geneid:36787
dme:Dmel_CG10737	ncbi-geneid:37202
dme:Dmel_CG10738	ncbi-geneid:39516
dme:Dmel_CG10739	ncbi-geneid:35200
dme:Dmel_CG1074	ncbi-geneid:40564
dme:Dmel_CG10741	ncbi-geneid:39521
dme:Dmel_CG10742	ncbi-geneid:31244
dme:Dmel_CG10743	ncbi-geneid:39524
dme:Dmel_CG10747	ncbi-geneid:35295
dme:Dmel_CG10748	ncbi-geneid:39469
dme:Dmel_CG10749	ncbi-geneid:39470
dme:Dmel_CG10750	ncbi-geneid:35206
dme:Dmel_CG10751	ncbi-geneid:36963
dme:Dmel_CG10752	ncbi-geneid:39467
dme:Dmel_CG10753	ncbi-geneid:44668
dme:Dmel_CG10754	ncbi-geneid:39456
dme:Dmel_CG10755	ncbi-geneid:31193
dme:Dmel_CG10756	ncbi-geneid:35297
dme:Dmel_CG10757	ncbi-geneid:35299
