dme:Dmel_CG10000	up:Q8MYY6
dme:Dmel_CG10122	up:P91875
dme:Dmel_CG10123	up:Q9NG98
dme:Dmel_CG10124	up:Q9VRY0
dme:Dmel_CG10125	up:Q9VRX6
dme:Dmel_CG10125	up:M9PEB8
dme:Dmel_CG10126	up:Q9VG23
dme:Dmel_CG10128	up:P19018
dme:Dmel_CG10129	up:P98159
dme:Dmel_CG10130	up:Q7JZN0
dme:Dmel_CG10131	up:Q5U1B0
dme:Dmel_CG10132	up:Q9VIU8
dme:Dmel_CG10133	up:Q9VU77
dme:Dmel_CG10134	up:Q9VG24
dme:Dmel_CG10137	up:Q9VIU5
dme:Dmel_CG10138	up:Q9W2A5
dme:Dmel_CG10139	up:A0A0B4LFE1
dme:Dmel_CG1014	up:Q9W0F0
dme:Dmel_CG10140	up:Q9VU74
dme:Dmel_CG10142	up:Q9W0Z1
dme:Dmel_CG10143	up:Q7KGG1
dme:Dmel_CG10144	up:Q9VRX2
dme:Dmel_CG10145	up:Q7JY80
dme:Dmel_CG10146	up:P45884
dme:Dmel_CG10147	up:Q9VRX0
dme:Dmel_CG10149	up:Q7KLV9
dme:Dmel_CG10149	up:A0A0B4K7Z5
dme:Dmel_CG10151	up:B7YZH1
dme:Dmel_CG10152	up:A0A0B4KGP4
dme:Dmel_CG10153	up:Q7K2Q8
dme:Dmel_CG10154	up:Q9VU72
dme:Dmel_CG10155	up:F0JAK5
dme:Dmel_CG10157	up:Q9VCK1
dme:Dmel_CG10158	up:Q9VM65
dme:Dmel_CG10158	up:M9PEZ2
dme:Dmel_CG10159	up:Q94513
dme:Dmel_CG10160	up:Q95028
dme:Dmel_CG10160	up:B5RJQ0
dme:Dmel_CG10161	up:Q9VCK0
dme:Dmel_CG10163	up:Q9VRW5
dme:Dmel_CG10164	up:Q9VCL2
dme:Dmel_CG10165	up:Q9VIU6
dme:Dmel_CG10166	up:Q9VIU7
dme:Dmel_CG10168	up:Q9VCL3
dme:Dmel_CG1017	up:Q9W062
dme:Dmel_CG10170	up:Q9VCL5
dme:Dmel_CG10171	up:Q9VU64
dme:Dmel_CG10173	up:Q9VRW4
dme:Dmel_CG10174	up:Q9VJ85
dme:Dmel_CG10175	up:Q9VCL6
dme:Dmel_CG10176	up:Q9VJ83
dme:Dmel_CG10177	up:Q9VCL7
dme:Dmel_CG10178	up:Q9VJ81
dme:Dmel_CG10181	up:Q00748
dme:Dmel_CG10182	up:Q9VCK9
dme:Dmel_CG10183	up:Q9VCK7
dme:Dmel_CG10184	up:Q9VCK6
dme:Dmel_CG10185	up:Q9VEZ2
dme:Dmel_CG10186	up:Q058W1
dme:Dmel_CG10188	up:M9PBE1
dme:Dmel_CG10189	up:Q9VIV3
dme:Dmel_CG1019	up:Q24400
dme:Dmel_CG10191	up:Q9VU65
dme:Dmel_CG10192	up:Q9VCH1
dme:Dmel_CG10194	up:Q9VIV6
dme:Dmel_CG10195	up:Q9VIV9
dme:Dmel_CG10197	up:P56721
dme:Dmel_CG10197	up:E2QCN0
dme:Dmel_CG10198	up:Q9VCH5
dme:Dmel_CG10200	up:Q7JVV8
dme:Dmel_CG10202	up:A1Z9V3
dme:Dmel_CG10203	up:M9PC85
dme:Dmel_CG10205	up:Q8SY73
dme:Dmel_CG10206	up:Q9VM69
dme:Dmel_CG10207	up:Q7JZR4
dme:Dmel_CG10208	up:Q9VCH7
dme:Dmel_CG10209	up:A0A0B4KEQ7
dme:Dmel_CG1021	up:Q9VI21
dme:Dmel_CG10210	up:Q9VCH8
dme:Dmel_CG10211	up:Q9VJ80
dme:Dmel_CG10212	up:Q7KK96
dme:Dmel_CG10214	up:Q9VCI0
dme:Dmel_CG10215	up:Q7KMG7
dme:Dmel_CG10217	up:Q9VCI4
dme:Dmel_CG10219	up:Q9VCI5
dme:Dmel_CG10221	up:Q9V415
dme:Dmel_CG10222	up:Q9VU67
dme:Dmel_CG10223	up:P15348
dme:Dmel_CG10225	up:A0A0B4KGQ0
dme:Dmel_CG10226	up:M9PEB5
dme:Dmel_CG10228	up:E1JH68
dme:Dmel_CG10229	up:A0A0B4KFL3
dme:Dmel_CG10230	up:Q7KMP8
dme:Dmel_CG10232	up:Q9VCJ0
dme:Dmel_CG10233	up:Q9VN91
dme:Dmel_CG10234	up:P25722
dme:Dmel_CG10236	up:Q00174
dme:Dmel_CG10237	up:Q9I7M3
dme:Dmel_CG10238	up:Q9VBX2
dme:Dmel_CG1024	up:B9A0M7
dme:Dmel_CG10240	up:Q9V769
dme:Dmel_CG10240	up:A0A0B4LGH5
dme:Dmel_CG10241	up:Q9V770
dme:Dmel_CG10241	up:A0A0B4LF54
dme:Dmel_CG10242	up:Q9V771
dme:Dmel_CG10242	up:B5RJL8
dme:Dmel_CG10243	up:P82711
dme:Dmel_CG10244	up:Q9VBW3
dme:Dmel_CG10245	up:Q9V773
dme:Dmel_CG10246	up:Q27594
dme:Dmel_CG10247	up:Q9V774
dme:Dmel_CG10248	up:Q27593
dme:Dmel_CG10249	up:A8DYE0
dme:Dmel_CG10250	up:P22816
dme:Dmel_CG10251	up:Q9VCJ5
dme:Dmel_CG10252	up:Q9VCJ6
dme:Dmel_CG10253	up:Q9V778
dme:Dmel_CG10253	up:A0A0B4JD21
dme:Dmel_CG10254	up:A0A0B4KHY8
dme:Dmel_CG10255	up:Q9V780
dme:Dmel_CG10255	up:A0A0B4JCT8
dme:Dmel_CG10257	up:Q8SWZ6
dme:Dmel_CG10260	up:M9PDM4
dme:Dmel_CG10262	up:Q9VIT0
dme:Dmel_CG10263	up:M9PBE2
dme:Dmel_CG10264	up:Q9VEZ7
dme:Dmel_CG10265	up:Q7K2K2
dme:Dmel_CG10267	up:Q9VI24
dme:Dmel_CG10268	up:Q9VIT2
dme:Dmel_CG10269	up:Q9VRV5
dme:Dmel_CG10270	up:Q9VRV4
dme:Dmel_CG10274	up:A8JNL9
dme:Dmel_CG10275	up:Q9VJ82
dme:Dmel_CG10277	up:Q9VI20
dme:Dmel_CG10278	up:A0A0B4JDD2
dme:Dmel_CG10279	up:P19109
dme:Dmel_CG1028	up:P02833
dme:Dmel_CG1028	up:A4V2I6
dme:Dmel_CG10280	up:A0A0B4K600
dme:Dmel_CG10281	up:Q05913
dme:Dmel_CG10283	up:E1JHK9
dme:Dmel_CG10286	up:Q9VI15
dme:Dmel_CG10287	up:A8JQU3
dme:Dmel_CG10289	up:M9PEB1
dme:Dmel_CG10293	up:O01367
dme:Dmel_CG10293	up:B3DNL7
dme:Dmel_CG10295	up:B7Z0W0
dme:Dmel_CG10296	up:Q9VI12
dme:Dmel_CG10297	up:P91941
dme:Dmel_CG10298	up:Q9VI08
dme:Dmel_CG1030	up:P09077
dme:Dmel_CG1030	up:A4V2I1
dme:Dmel_CG10300	up:Q9VCJ2
dme:Dmel_CG10301	up:Q9VCJ3
dme:Dmel_CG10302	up:Q9VJ86
dme:Dmel_CG10303	up:A0A0B4KF52
dme:Dmel_CG10305	up:P13008
dme:Dmel_CG10305	up:M9PG47
dme:Dmel_CG10306	up:Q9W2D9
dme:Dmel_CG10307	up:Q9W2D7
dme:Dmel_CG10308	up:Q9VZP3
dme:Dmel_CG10309	up:Q9VEW6
dme:Dmel_CG1031	up:Q9VIC3
dme:Dmel_CG10311	up:Q9VEW3
dme:Dmel_CG10315	up:Q0E8X6
dme:Dmel_CG10317	up:Q9VEW0
dme:Dmel_CG10318	up:Q9W2E3
dme:Dmel_CG10320	up:Q9W2E8
dme:Dmel_CG10321	up:A0A0B4KFE8
dme:Dmel_CG10324	up:Q9VES0
dme:Dmel_CG10325	up:P29555
dme:Dmel_CG10326	up:Q9VES1
dme:Dmel_CG10326	up:A0A0B4KG41
dme:Dmel_CG10327	up:Q8SXP8
dme:Dmel_CG10328	up:Q24113
dme:Dmel_CG10332	up:Q9W1M5
dme:Dmel_CG10333	up:Q9VJ74
dme:Dmel_CG10334	up:Q01083
dme:Dmel_CG10334	up:A4V0W1
dme:Dmel_CG10335	up:Q9VTV9
dme:Dmel_CG10336	up:Q8INX3
dme:Dmel_CG10337	up:Q9VIU0
dme:Dmel_CG10338	up:Q9VJ63
dme:Dmel_CG10339	up:Q9W1B3
dme:Dmel_CG1034	up:P09081
dme:Dmel_CG10340	up:Q9VES8
dme:Dmel_CG10341	up:Q9VJ62
dme:Dmel_CG10342	up:Q9VET0
dme:Dmel_CG10342	up:A0A0B4KG37
dme:Dmel_CG10343	up:Q9VJ60
dme:Dmel_CG10344	up:Q9W251
dme:Dmel_CG10345	up:Q9VET1
dme:Dmel_CG10346	up:Q9VJ57
dme:Dmel_CG10347	up:Q9VYT5
dme:Dmel_CG10348	up:Q9VJ55
dme:Dmel_CG10352	up:M9PJJ5
dme:Dmel_CG10353	up:Q76NS2
dme:Dmel_CG10354	up:Q9VM71
dme:Dmel_CG10354	up:M9PEY6
dme:Dmel_CG10357	up:Q9VZN6
dme:Dmel_CG10359	up:B7Z0B3
dme:Dmel_CG10360	up:P14199
dme:Dmel_CG10361	up:Q9VTN9
dme:Dmel_CG10362	up:Q9VYR9
dme:Dmel_CG10363	up:M9PD73
dme:Dmel_CG10364	up:Q9VIT3
dme:Dmel_CG10365	up:Q9VCI9
dme:Dmel_CG10366	up:Q9VIS9
dme:Dmel_CG10367	up:P14773
dme:Dmel_CG10367	up:E1JIU8
dme:Dmel_CG10369	up:B7YZX2
dme:Dmel_CG10370	up:Q9V3V6
dme:Dmel_CG10371	up:Q86BN8
dme:Dmel_CG10371	up:B5RJ36
dme:Dmel_CG10372	up:Q9VJ58
dme:Dmel_CG10373	up:Q9VJ59
dme:Dmel_CG10374	up:Q9VCI3
dme:Dmel_CG10375	up:A0AVU6
dme:Dmel_CG10376	up:Q9VJ61
dme:Dmel_CG10377	up:P48809
dme:Dmel_CG10377	up:E1JHA4
dme:Dmel_CG10379	up:A0A0B4K7Q6
dme:Dmel_CG10382	up:Q9W260
dme:Dmel_CG10383	up:Q9VJ64
dme:Dmel_CG10384	up:Q9W249
dme:Dmel_CG10385	up:P50535
dme:Dmel_CG10385	up:X2J6S0
dme:Dmel_CG10387	up:Q24558
dme:Dmel_CG10388	up:P83949
dme:Dmel_CG10390	up:Q9VND0
dme:Dmel_CG10391	up:Q9VJ71
dme:Dmel_CG10392	up:Q7KJA9
dme:Dmel_CG10393	up:Q9Y0A7
dme:Dmel_CG10395	up:A1Z6E8
dme:Dmel_CG10396	up:A0A0B4KEI0
dme:Dmel_CG10399	up:Q9VM58
dme:Dmel_CG10405	up:Q4V5J3
dme:Dmel_CG10406	up:Q9VEV5
dme:Dmel_CG10407	up:Q9VEZ6
dme:Dmel_CG1041	up:Q0KIA8
dme:Dmel_CG10413	up:Q9VJ75
dme:Dmel_CG10414	up:Q9VJ73
dme:Dmel_CG10415	up:O96880
dme:Dmel_CG10417	up:Q7K4Q5
dme:Dmel_CG10417	up:E2QC56
dme:Dmel_CG10418	up:Q9VTW6
dme:Dmel_CG10419	up:Q9VVX0
dme:Dmel_CG10420	up:Q9VBV5
dme:Dmel_CG10422	up:P22745
dme:Dmel_CG10422	up:B5RIV8
dme:Dmel_CG10423	up:Q9VBU9
dme:Dmel_CG10424	up:Q9VVW8
dme:Dmel_CG10425	up:Q9VBU5
dme:Dmel_CG10426	up:Q9VTW2
dme:Dmel_CG10428	up:Q9VJ34
dme:Dmel_CG10431	up:Q9VJ27
dme:Dmel_CG10433	up:Q9W2F6
dme:Dmel_CG10435	up:Q9VHX1
dme:Dmel_CG10436	up:P54191
dme:Dmel_CG1044	up:Q9VZZ9
dme:Dmel_CG1044	up:L7RZC6
dme:Dmel_CG10440	up:D5SHR0
dme:Dmel_CG10443	up:P16621
dme:Dmel_CG10444	up:Q8SWV5
dme:Dmel_CG10445	up:Q9VHY2
dme:Dmel_CG10446	up:Q9VJ16
dme:Dmel_CG10447	up:Q8ST61
dme:Dmel_CG10449	up:Q9V3A4
dme:Dmel_CG10449	up:Q2EJP5
dme:Dmel_CG10459	up:A1Z7Y4
dme:Dmel_CG1046	up:P09089
dme:Dmel_CG10460	up:A1ZBK7
dme:Dmel_CG10462	up:Q2PDT3
dme:Dmel_CG10463	up:Q9VIS4
dme:Dmel_CG10465	up:Q7JZ62
dme:Dmel_CG10466	up:Q9VIS0
dme:Dmel_CG10467	up:Q9VRU1
dme:Dmel_CG10469	up:Q9VRU0
dme:Dmel_CG10470	up:Q9VJ11
dme:Dmel_CG10472	up:Q9VRT2
dme:Dmel_CG10473	up:Q9VJ12
dme:Dmel_CG10474	up:A1ZBI7
dme:Dmel_CG10475	up:Q9VRS9
dme:Dmel_CG10476	up:A1ZBI6
dme:Dmel_CG10477	up:Q9VRS3
dme:Dmel_CG10478	up:Q9VRS0
dme:Dmel_CG10479	up:M9PEA4
dme:Dmel_CG1048	up:P09090
dme:Dmel_CG10480	up:P25171
dme:Dmel_CG10481	up:Q7KT29
dme:Dmel_CG10486	up:M9ND52
dme:Dmel_CG10488	up:Q9VTX7
dme:Dmel_CG10489	up:Q9VRQ7
dme:Dmel_CG1049	up:Q7K4C7
dme:Dmel_CG10491	up:Q94918
dme:Dmel_CG10492	up:Q9VJ08
dme:Dmel_CG10493	up:Q9VJ07
dme:Dmel_CG10493	up:M9PBD5
dme:Dmel_CG10494	up:Q95TZ0
dme:Dmel_CG10495	up:Q9VJ06
dme:Dmel_CG10496	up:Q9W2G5
dme:Dmel_CG10497	up:P49415
dme:Dmel_CG10498	up:P23573
dme:Dmel_CG10498	up:E1JIR3
dme:Dmel_CG10501	up:P18486
dme:Dmel_CG10501	up:H5V873
dme:Dmel_CG10504	up:E3CTS5
dme:Dmel_CG10505	up:Q9W2I5
dme:Dmel_CG10506	up:Q9Y105
dme:Dmel_CG10508	up:M9PFU5
dme:Dmel_CG10510	up:Q9VP67
dme:Dmel_CG10512	up:Q9VP68
dme:Dmel_CG10513	up:Q9VBT7
dme:Dmel_CG10514	up:Q9VBT6
dme:Dmel_CG10516	up:Q9VUW0
dme:Dmel_CG10520	up:P22812
dme:Dmel_CG10521	up:Q24568
dme:Dmel_CG10521	up:E1JJP7
dme:Dmel_CG10522	up:M9PI41
dme:Dmel_CG10523	up:Q7KTX7
dme:Dmel_CG10527	up:Q9W2M4
dme:Dmel_CG10528	up:M9PG97
dme:Dmel_CG10529	up:P91942
dme:Dmel_CG10530	up:C0HL64
dme:Dmel_CG10530	up:C0HL65
dme:Dmel_CG10531	up:Q9W2M5
dme:Dmel_CG10533	up:P92194
dme:Dmel_CG10534	up:C0HL64
dme:Dmel_CG10534	up:C0HL65
dme:Dmel_CG10535	up:Q9VGK7
dme:Dmel_CG10537	up:P25123
dme:Dmel_CG10537	up:M9PHV2
dme:Dmel_CG10538	up:Q9VIS1
dme:Dmel_CG10538	up:M9PDR8
dme:Dmel_CG10539	up:Q94533
dme:Dmel_CG10540	up:Q9W2N0
dme:Dmel_CG10541	up:Q8T3Z0
dme:Dmel_CG10542	up:Q9VRP9
dme:Dmel_CG10542	up:X2JGB3
dme:Dmel_CG10543	up:A0A0B4KFE1
dme:Dmel_CG10545	up:P26308
dme:Dmel_CG10545	up:A4V4I0
dme:Dmel_CG10546	up:Q9VRP8
dme:Dmel_CG10550	up:Q9VBS7
dme:Dmel_CG10553	up:Q9VBS4
dme:Dmel_CG10555	up:Q9W3G1
dme:Dmel_CG10559	up:Q9VBS5
dme:Dmel_CG1056	up:A8JQT4
dme:Dmel_CG10560	up:Q9VBS3
dme:Dmel_CG10561	up:P18487
dme:Dmel_CG10561	up:B5RIP2
dme:Dmel_CG10562	up:Q961Q8
dme:Dmel_CG10563	up:Q9VIZ2
dme:Dmel_CG10564	up:Q9VP76
dme:Dmel_CG10565	up:Q9VP77
dme:Dmel_CG10566	up:Q9VP78
dme:Dmel_CG1057	up:Q8IH24
dme:Dmel_CG1057	up:A0A0B4K6R3
dme:Dmel_CG10570	up:Q9VJ49
dme:Dmel_CG10571	up:Q24248
dme:Dmel_CG10572	up:Q9VT57
dme:Dmel_CG10573	up:Q9VP79
dme:Dmel_CG10574	up:A8JNP7
dme:Dmel_CG10575	up:Q9VRP4
dme:Dmel_CG10576	up:Q9VRP2
dme:Dmel_CG10578	up:Q24133
dme:Dmel_CG10578	up:Q53ZT0
dme:Dmel_CG10579	up:Q7KM08
dme:Dmel_CG1058	up:A0A0B4K691
dme:Dmel_CG10580	up:Q24342
dme:Dmel_CG10581	up:Q9VP84
dme:Dmel_CG10582	up:E1JI58
dme:Dmel_CG10583	up:Q9VRN6
dme:Dmel_CG10584	up:Q9VP86
dme:Dmel_CG10585	up:Q9VP87
dme:Dmel_CG10586	up:Q9VP95
dme:Dmel_CG10587	up:B7Z091
dme:Dmel_CG10588	up:Q9VP94
dme:Dmel_CG10589	up:Q9VP96
dme:Dmel_CG1059	up:Q9VN44
dme:Dmel_CG10590	up:Q9VRN1
dme:Dmel_CG10591	up:Q9VRN0
dme:Dmel_CG10592	up:Q9VRM8
dme:Dmel_CG10593	up:Q9VLJ6
dme:Dmel_CG10593	up:M9PCE8
dme:Dmel_CG10594	up:Q9VRM7
dme:Dmel_CG10594	up:H8F4V5
dme:Dmel_CG10596	up:X2JCI8
dme:Dmel_CG10597	up:B7Z101
dme:Dmel_CG10598	up:Q9VX65
dme:Dmel_CG10600	up:B7YZX6
dme:Dmel_CG10601	up:M9PI45
dme:Dmel_CG10602	up:Q9VJ39
dme:Dmel_CG10603	up:Q9VJ38
dme:Dmel_CG10604	up:Q04787
dme:Dmel_CG10605	up:P54269
dme:Dmel_CG10609	up:Q9VNB5
dme:Dmel_CG10610	up:Q9U6M0
dme:Dmel_CG10610	up:B6IDJ7
dme:Dmel_CG10612	up:Q9VNB3
dme:Dmel_CG10616	up:Q9VTX8
dme:Dmel_CG10616	up:C8VV60
dme:Dmel_CG10617	up:Q9VYE1
dme:Dmel_CG10618	up:Q107I8
dme:Dmel_CG10619	up:Q9VJ37
dme:Dmel_CG10620	up:Q9VTZ5
dme:Dmel_CG10621	up:Q9VJ32
dme:Dmel_CG10622	up:Q9V470
dme:Dmel_CG10623	up:Q9VJ31
dme:Dmel_CG10624	up:Q9VRM3
dme:Dmel_CG10625	up:Q86NR7
dme:Dmel_CG10626	up:Q9VRM0
dme:Dmel_CG10627	up:Q9VTZ4
dme:Dmel_CG10628	up:Q9I7M2
dme:Dmel_CG1063	up:P29993
dme:Dmel_CG10630	up:Q9VRL8
dme:Dmel_CG10631	up:Q9VIS5
dme:Dmel_CG10632	up:B7Z0A9
dme:Dmel_CG10633	up:Q9VRL4
dme:Dmel_CG10635	up:Q9VRL3
dme:Dmel_CG10635	up:A0A1B2AKD0
dme:Dmel_CG10637	up:X2J946
dme:Dmel_CG10638	up:Q9VTY2
dme:Dmel_CG10639	up:Q9VJ28
dme:Dmel_CG1064	up:Q24090
dme:Dmel_CG10640	up:Q9VRL1
dme:Dmel_CG10641	up:Q9VJ26
dme:Dmel_CG10641	up:X2J6X1
dme:Dmel_CG10642	up:Q9VRK9
dme:Dmel_CG10645	up:Q9VRK8
dme:Dmel_CG10645	up:I0E2J7
dme:Dmel_CG10646	up:Q9VTY5
dme:Dmel_CG10648	up:Q9W3B2
dme:Dmel_CG1065	up:Q94522
dme:Dmel_CG10650	up:Q9VJ22
dme:Dmel_CG10651	up:Q9VIN6
dme:Dmel_CG10652	up:Q9VJ19
dme:Dmel_CG10653	up:Q24185
dme:Dmel_CG10654	up:M9PFA9
dme:Dmel_CG10655	up:Q9VJ10
dme:Dmel_CG10657	up:Q9VTY1
dme:Dmel_CG10658	up:Q9VIQ4
dme:Dmel_CG10659	up:Q9VIQ1
dme:Dmel_CG10660	up:M9PI40
dme:Dmel_CG10663	up:A8JNS0
dme:Dmel_CG10664	up:Q9VIQ8
dme:Dmel_CG10667	up:O16810
dme:Dmel_CG10669	up:Q9VBR9
dme:Dmel_CG10670	up:Q9VRJ0
dme:Dmel_CG10671	up:Q9VRJ2
dme:Dmel_CG10672	up:Q9VRJ4
dme:Dmel_CG10673	up:Q9VRJ6
dme:Dmel_CG10674	up:Q9VRJ8
dme:Dmel_CG10675	up:Q9VBS0
dme:Dmel_CG10679	up:Q9VJ33
dme:Dmel_CG10679	up:X2J935
dme:Dmel_CG10680	up:Q9VIQ5
dme:Dmel_CG10681	up:Q9VTY4
dme:Dmel_CG10681	up:M9PFF6
dme:Dmel_CG10682	up:Q9VTY6
dme:Dmel_CG10683	up:Q7JXA8
dme:Dmel_CG10685	up:Q9VIZ0
dme:Dmel_CG10685	up:A0A1B2AKR4
dme:Dmel_CG10686	up:Q9VTZ0
dme:Dmel_CG10687	up:Q9V434
dme:Dmel_CG10688	up:Q9VTZ6
dme:Dmel_CG10689	up:Q9VIZ3
dme:Dmel_CG10691	up:P24156
dme:Dmel_CG10691	up:A0A023GQA5
dme:Dmel_CG10692	up:Q9VKB3
dme:Dmel_CG10693	up:Q03720
dme:Dmel_CG10694	up:Q9VCD5
dme:Dmel_CG10695	up:M9PGT5
dme:Dmel_CG10697	up:P05031
dme:Dmel_CG10697	up:F0JAJ6
dme:Dmel_CG10698	up:M9PF00
dme:Dmel_CG10699	up:Q9VJ00
dme:Dmel_CG1070	up:A8JQU6
dme:Dmel_CG10700	up:Q9VJ03
dme:Dmel_CG10701	up:P46150
dme:Dmel_CG10701	up:M9NG50
dme:Dmel_CG10702	up:Q9VJ04
dme:Dmel_CG10703	up:Q9VGR1
dme:Dmel_CG10704	up:M9PFA4
dme:Dmel_CG10706	up:Q7KVW5
dme:Dmel_CG1071	up:O77051
dme:Dmel_CG1071	up:X2J9B3
dme:Dmel_CG10710	up:Q9VU89
dme:Dmel_CG10711	up:Q9VU87
dme:Dmel_CG10712	up:Q86BS3
dme:Dmel_CG10713	up:Q9VU71
dme:Dmel_CG10717	up:Q6NL75
dme:Dmel_CG10718	up:Q9VIP4
dme:Dmel_CG10719	up:Q8MQJ9
dme:Dmel_CG10719	up:E8NHB3
dme:Dmel_CG1072	up:Q8IRC7
dme:Dmel_CG10721	up:Q9VIP2
dme:Dmel_CG10722	up:Q9VIP0
dme:Dmel_CG10723	up:Q9V3B5
dme:Dmel_CG10724	up:Q9VU68
dme:Dmel_CG10725	up:Q8IQJ4
dme:Dmel_CG10726	up:Q9VIP9
dme:Dmel_CG10728	up:Q9VIP8
dme:Dmel_CG10730	up:Q9VIP6
dme:Dmel_CG10731	up:A1ZAA9
dme:Dmel_CG10732	up:M9PFI2
dme:Dmel_CG10733	up:Q9VRU2
dme:Dmel_CG10734	up:Q29QS8
dme:Dmel_CG10737	up:Q7YTZ4
dme:Dmel_CG10738	up:C7LAF5
dme:Dmel_CG10739	up:Q24118
dme:Dmel_CG1074	up:Q960G1
dme:Dmel_CG10741	up:Q8IQJ9
dme:Dmel_CG10742	up:Q9W4X6
dme:Dmel_CG10743	up:Q9VU88
dme:Dmel_CG10747	up:Q9VIP3
dme:Dmel_CG10748	up:Q9VU28
dme:Dmel_CG10749	up:Q9VU29
dme:Dmel_CG10750	up:X2J6Y3
dme:Dmel_CG10751	up:Q7KMS3
dme:Dmel_CG10752	up:Q9VU26
dme:Dmel_CG10753	up:Q9VU02
dme:Dmel_CG10754	up:Q9VU15
dme:Dmel_CG10755	up:O46054
dme:Dmel_CG10756	up:Q9VIP1
dme:Dmel_CG10757	up:Q9VIN9
dme:Dmel_CG10759	up:Q9W3I5
dme:Dmel_CG10759	up:E2E4R7
dme:Dmel_CG1076	up:Q9VNL3
