#SUBMITTED ID	FBID_KEY	NAME	SYMBOL
FBgn0000287	FBgn0000287	spalt-related	salr
FBgn0000289	FBgn0000289	combgap	cg
FBgn0000299	FBgn0000299	Collagen type IV alpha 1	Col4a1
FBgn0000303	FBgn0000303	Choline acetyltransferase	ChAT
FBgn0000307	FBgn0000307	chiffon	chif
FBgn0000308	FBgn0000308	chickadee	chic
FBgn0000316	FBgn0000316	cinnamon	cin
FBgn0000317	FBgn0000317	crinkled	ck
FBgn0000318	FBgn0000318	clot	cl
FBgn0000319	FBgn0000319	Clathrin heavy chain	Chc
FBgn0000320	FBgn0000320	eyes absent	eya
FBgn0000326	FBgn0000326	cricklet	clt
FBgn0000330	FBgn0000330	carmine	cm
FBgn0000337	FBgn0000337	cinnabar	cn
FBgn0000339	FBgn0000339	cornichon	cni
FBgn0000346	FBgn0000346	comatose	comt
FBgn0000351	FBgn0000351	cortex	cort
FBgn0000352	FBgn0000352	costa	cos
FBgn0000355	FBgn0000355	Chorion protein 15	Cp15
FBgn0000356	FBgn0000356	Chorion protein 16	Cp16
FBgn0000357	FBgn0000357	Chorion protein 18	Cp18
FBgn0000358	FBgn0000358	Chorion protein 19	Cp19
FBgn0000359	FBgn0000359	Chorion protein 36	Cp36
FBgn0000360	FBgn0000360	Chorion protein 38	Cp38
FBgn0000370	FBgn0000370	cryptocephal	crc
FBgn0000376	FBgn0000376	cramped	crm
FBgn0000377	FBgn0000377	crooked neck	crn
FBgn0000382	FBgn0000382	corkscrew	csw
FBgn0000384	FBgn0000384	concertina	cta
FBgn0000392	FBgn0000392	cup	cup
FBgn0000394	FBgn0000394	crossveinless	cv
FBgn0000395	FBgn0000395	crossveinless 2	cv-2
FBgn0000404	FBgn0000404	Cyclin A	CycA
FBgn0000405	FBgn0000405	Cyclin B	CycB
FBgn0000406	FBgn0000406	Cytochrome b5-related	Cyt-b5-r
FBgn0000411	FBgn0000411	Dichaete	D
FBgn0000412	FBgn0000412	D1 chromosomal protein	D1
FBgn0000414	FBgn0000414	Disabled	Dab
FBgn0000416	FBgn0000416	Saposin-related	Sap-r
FBgn0000422	FBgn0000422	Dopa decarboxylase	Ddc
FBgn0000426	FBgn0000426	Small ribonucleoprotein particle protein SmF	SmF
FBgn0000427	FBgn0000427	defective chorion 1	dec-1
FBgn0000439	FBgn0000439	Deformed	Dfd
FBgn0000442	FBgn0000442	Protein kinase, cGMP-dependent at 21D	Pkg21D
FBgn0000447	FBgn0000447	Dihydroorotate dehydrogenase	Dhod
FBgn0000448	FBgn0000448	Hormone receptor 3	Hr3
FBgn0000449	FBgn0000449	disembodied	dib
FBgn0000451	FBgn0000451	ectodermal	ect
FBgn0000454	FBgn0000454	Dipeptidase B	Dip-B
FBgn0000455	FBgn0000455	Dipeptidase C	Dip-C
FBgn0000459	FBgn0000459	disconnected	disco
FBgn0000463	FBgn0000463	Delta	Dl
FBgn0000464	FBgn0000464	Leukocyte-antigen-related-like	Lar
FBgn0000473	FBgn0000473	Cytochrome P450-6a2	Cyp6a2
FBgn0000477	FBgn0000477	Deoxyribonuclease II	DNaseII
FBgn0000479	FBgn0000479	dunce	dnc
FBgn0000482	FBgn0000482	deep orange	dor
FBgn0000489	FBgn0000489	Protein kinase, cAMP-dependent, catalytic subunit 3	Pka-C3
FBgn0000490	FBgn0000490	decapentaplegic	dpp
FBgn0000492	FBgn0000492	Drop	Dr
FBgn0000499	FBgn0000499	dishevelled	dsh
FBgn0000500	FBgn0000500	Drosulfakinin	Dsk
FBgn0000504	FBgn0000504	doublesex	dsx
FBgn0000520	FBgn0000520	deformed wings	dwg
FBgn0000524	FBgn0000524	deltex	dx
FBgn0000527	FBgn0000527	ebony	e
FBgn0000529	FBgn0000529	brain-specific homeobox	bsh
FBgn0000533	FBgn0000533	easter	ea
FBgn0000535	FBgn0000535	ether a go-go	eag
FBgn0000536	FBgn0000536	easily shocked	eas
FBgn0000541	FBgn0000541	Enhancer of bithorax	E(bx)
FBgn0000542	FBgn0000542	echinus	ec
FBgn0000543	FBgn0000543	ecdysoneless	ecd
FBgn0000546	FBgn0000546	Ecdysone receptor	EcR
FBgn0000547	FBgn0000547	echinoid	ed
FBgn0000551	FBgn0000551	Ecdysone-dependent gene 78E	Edg78E
FBgn0000552	FBgn0000552	Ecdysone-dependent gene 84A	Edg84A
FBgn0000557	FBgn0000557	eukaryotic translation elongation factor 1 alpha 2	eEF1alpha2
FBgn0000559	FBgn0000559	eukaryotic translation elongation factor 2	eEF2
FBgn0000560	FBgn0000560	eagle	eg
FBgn0000562	FBgn0000562	egalitarian	egl
FBgn0000564	FBgn0000564	Eclosion hormone	Eh
FBgn0000565	FBgn0000565	Methionine sulfoxide reductase A	MsrA
FBgn0000566	FBgn0000566	Ecdysone-induced protein 55E	Eip55E
FBgn0000567	FBgn0000567	Ecdysone-induced protein 74EF	Eip74EF
FBgn0000568	FBgn0000568	Ecdysone-induced protein 75B	Eip75B
FBgn0000575	FBgn0000575	extra macrochaetae	emc
FBgn0000576	FBgn0000576	empty spiracles	ems
FBgn0000577	FBgn0000577	engrailed	en
FBgn0000578	FBgn0000578	enabled	ena
FBgn0000579	FBgn0000579	Enolase	Eno
FBgn0000581	FBgn0000581	Enhancer of Polycomb	E(Pc)
FBgn0000588	FBgn0000588	extra sexcombs	esc
FBgn0000591	FBgn0000591	Enhancer of split m8, helix-loop-helix	E(spl)m8-HLH
FBgn0000592	FBgn0000592	Esterase 6	Est-6
FBgn0000594	FBgn0000594	Esterase P	Est-P
FBgn0000606	FBgn0000606	even skipped	eve
FBgn0000611	FBgn0000611	extradenticle	exd
FBgn0000615	FBgn0000615	exuperantia	exu
FBgn0000617	FBgn0000617	TBP-associated factor 9	Taf9
FBgn0000618	FBgn0000618	enhancer of yellow 2	e(y)2
FBgn0000625	FBgn0000625	eyegone	eyg
FBgn0000629	FBgn0000629	Enhancer of zeste	E(z)
FBgn0000633	FBgn0000633	-	CG17716
FBgn0000635	FBgn0000635	Fasciclin 2	Fas2
FBgn0000636	FBgn0000636	Fasciclin 3	Fas3
FBgn0000639	FBgn0000639	Fat body protein 1	Fbp1
FBgn0000640	FBgn0000640	Fat body protein 2	Fbp2
FBgn0000644	FBgn0000644	Follicle cell protein 3C	Fcp3C
FBgn0000658	FBgn0000658	four-jointed	fj
FBgn0000659	FBgn0000659	fork head	fkh
FBgn0000662	FBgn0000662	female lethal d	fl(2)d
FBgn0000667	FBgn0000667	alpha actinin	Actn
FBgn0000709	FBgn0000709	flightless I	fliI
FBgn0000711	FBgn0000711	flapwing	flw
FBgn0000715	FBgn0000715	FMRFamide	FMRFa
FBgn0000719	FBgn0000719	folded gastrulation	fog
FBgn0000721	FBgn0000721	foraging	for
FBgn0000723	FBgn0000723	FER tyrosine kinase	FER
FBgn0000808	FBgn0000808	gastrulation-defective	gd
FBgn0000810	FBgn0000810	female sterile (1) K10	fs(1)K10
FBgn0000826	FBgn0000826	pan gu	png
FBgn0000927	FBgn0000927	female sterile (1) Young arrest	fs(1)Ya
FBgn0000928	FBgn0000928	female sterile (1) Yb	fs(1)Yb
FBgn0000964	FBgn0000964	traffic jam	tj
FBgn0000996	FBgn0000996	double parked	dup
FBgn0001075	FBgn0001075	fat	ft
FBgn0001077	FBgn0001077	fushi tarazu	ftz
FBgn0001078	FBgn0001078	ftz transcription factor 1	ftz-f1
FBgn0001079	FBgn0001079	fused	fu
FBgn0001083	FBgn0001083	furrowed	fw
FBgn0001084	FBgn0001084	fuzzy	fy
FBgn0001085	FBgn0001085	frizzled	fz
FBgn0001086	FBgn0001086	fizzy	fzy
FBgn0001087	FBgn0001087	garnet	g
FBgn0001089	FBgn0001089	beta galactosidase	Gal
FBgn0001090	FBgn0001090	bangles and beads	bnb
FBgn0001091	FBgn0001091	Glyceraldehyde 3 phosphate dehydrogenase 1	Gapdh1
FBgn0001092	FBgn0001092	Glyceraldehyde 3 phosphate dehydrogenase 2	Gapdh2
FBgn0001098	FBgn0001098	Glutamate dehydrogenase	Gdh
FBgn0001099	FBgn0001099	gonadal	gdl
FBgn0001104	FBgn0001104	G protein alpha i subunit	Galphai
FBgn0001105	FBgn0001105	G protein beta-subunit 13F	Gbeta13F
FBgn0001108	FBgn0001108	Dynactin 1, p150 subunit	DCTN1-p150
FBgn0001112	FBgn0001112	Glucose dehydrogenase	Gld
FBgn0001114	FBgn0001114	Glutactin	Glt
FBgn0001120	FBgn0001120	giant nuclei	gnu
FBgn0001122	FBgn0001122	G protein alpha o subunit	Galphao
FBgn0001123	FBgn0001123	G protein alpha s subunit	Galphas
FBgn0001124	FBgn0001124	Glutamate oxaloacetate transaminase 1	Got1
FBgn0001125	FBgn0001125	Glutamate oxaloacetate transaminase 2	Got2
FBgn0001128	FBgn0001128	Glycerol-3-phosphate dehydrogenase 1	Gpdh1
FBgn0001133	FBgn0001133	grauzone	grau
FBgn0001134	FBgn0001134	Glycine receptor	Grd
FBgn0001137	FBgn0001137	gurken	grk
FBgn0001138	FBgn0001138	grain	grn
FBgn0001139	FBgn0001139	groucho	gro
FBgn0001142	FBgn0001142	Glutamine synthetase 1	Gs1
FBgn0001145	FBgn0001145	Glutamine synthetase 2	Gs2
FBgn0001147	FBgn0001147	gooseberry-neuro	gsb-n
FBgn0001148	FBgn0001148	gooseberry	gsb
FBgn0001149	FBgn0001149	Glutathione S transferase D1	GstD1
FBgn0001150	FBgn0001150	giant	gt
FBgn0001168	FBgn0001168	hairy	h
FBgn0001169	FBgn0001169	Hairless	H
FBgn0001170	FBgn0001170	Homeodomain protein 2.0	H2.0
FBgn0001174	FBgn0001174	halo	halo
FBgn0001179	FBgn0001179	haywire	hay
FBgn0001180	FBgn0001180	hunchback	hb
FBgn0001185	FBgn0001185	hermaphrodite	her
FBgn0001186	FBgn0001186	Hexokinase A	Hex-A
FBgn0001187	FBgn0001187	Hexokinase C	Hex-C
FBgn0001189	FBgn0001189	halfway	hfw
FBgn0001197	FBgn0001197	Histone H2A variant	His2Av
FBgn0001202	FBgn0001202	hook	hook
FBgn0001206	FBgn0001206	Hybrid male rescue	Hmr
FBgn0001208	FBgn0001208	Henna	Hn
FBgn0001215	FBgn0001215	Heterogeneous nuclear ribonucleoprotein at 98DE	Hrb98DE
FBgn0001216	FBgn0001216	Heat shock protein cognate 1	Hsc70-1
FBgn0001217	FBgn0001217	Heat shock protein cognate 2	Hsc70-2
FBgn0001218	FBgn0001218	Heat shock 70-kDa protein cognate 3	Hsc70-3
FBgn0001220	FBgn0001220	Heat shock protein cognate 5	Hsc70-5
FBgn0001222	FBgn0001222	Heat shock factor	Hsf
FBgn0001223	FBgn0001223	Heat shock protein 22	Hsp22
FBgn0001224	FBgn0001224	Heat shock protein 23	Hsp23
FBgn0001225	FBgn0001225	Heat shock protein 26	Hsp26
FBgn0001226	FBgn0001226	Heat shock protein 27	Hsp27
FBgn0001227	FBgn0001227	Heat shock gene 67Ba	Hsp67Ba
FBgn0001228	FBgn0001228	-	CG4456
FBgn0001229	FBgn0001229	Heat shock gene 67Bc	Hsp67Bc
FBgn0001230	FBgn0001230	Heat shock protein 68	Hsp68
FBgn0001233	FBgn0001233	Heat shock protein 83	Hsp83
FBgn0001234	FBgn0001234	Heat shock RNA omega	lncRNA:Hsromega
FBgn0001235	FBgn0001235	homothorax	hth
FBgn0001247	FBgn0001247	Insulin degrading metalloproteinase	Ide
FBgn0001248	FBgn0001248	Isocitrate dehydrogenase	Idh
FBgn0001250	FBgn0001250	inflated	if
FBgn0001253	FBgn0001253	Ecdysone-inducible gene E1	ImpE1
FBgn0001254	FBgn0001254	Ecdysone-inducible gene E2	ImpE2
FBgn0001255	FBgn0001255	Ecdysone-inducible gene E3	ImpE3
FBgn0001256	FBgn0001256	Ecdysone-inducible gene L1	ImpL1
FBgn0001257	FBgn0001257	Ecdysone-inducible gene L2	ImpL2
FBgn0001258	FBgn0001258	Lactate dehydrogenase	Ldh
FBgn0001259	FBgn0001259	inturned	in
FBgn0001263	FBgn0001263	inactivation no afterpotential D	inaD
FBgn0001269	FBgn0001269	invected	inv
FBgn0001276	FBgn0001276	intersex	ix
FBgn0001280	FBgn0001280	janus A	janA
FBgn0001281	FBgn0001281	janus B	janB
FBgn0001285	FBgn0001285	Jonah 44E	Jon44E
FBgn0001291	FBgn0001291	Jun-related antigen	Jra
FBgn0001296	FBgn0001296	karmoisin	kar
FBgn0001297	FBgn0001297	kayak	kay
FBgn0001301	FBgn0001301	kelch	kel
FBgn0001308	FBgn0001308	Kinesin heavy chain	Khc
FBgn0001311	FBgn0001311	krotzkopf verkehrt	kkv
FBgn0001313	FBgn0001313	male fertility factor kl2	kl-2
FBgn0001316	FBgn0001316	klarsicht	klar
FBgn0001319	FBgn0001319	knot	kn
FBgn0001320	FBgn0001320	knirps	kni
FBgn0001321	FBgn0001321	knickkopf	knk
FBgn0001323	FBgn0001323	knirps-like	knrl
FBgn0001324	FBgn0001324	kohtalo	kto
FBgn0001325	FBgn0001325	Kruppel	Kr
FBgn0001330	FBgn0001330	kurz	kz
FBgn0001341	FBgn0001341	MYB binding protein 1a	Mybbp1A
FBgn0001404	FBgn0001404	egghead	egh
FBgn0001491	FBgn0001491	lethal (1) 10Bb	l(1)10Bb
FBgn0001565	FBgn0001565	Helicase	Hlc
FBgn0001612	FBgn0001612	Gamma-tubulin ring protein 91	Grip91
FBgn0001624	FBgn0001624	discs large 1	dlg1
FBgn0001941	FBgn0001941	infertile crescent	ifc
FBgn0001942	FBgn0001942	eukaryotic translation initiation factor 4A	eIF4A
FBgn0001961	FBgn0001961	Actin-related protein 2/3 complex, subunit 1	Arpc1
FBgn0001965	FBgn0001965	Son of sevenless	Sos
FBgn0001967	FBgn0001967	Nimrod C3	NimC3
FBgn0001970	FBgn0001970	Polypeptide N-acetylgalactosaminyltransferase 35A	Pgant35A
FBgn0001977	FBgn0001977	Cytokine induced apoptosis inhibitor 1	CIAPIN1
FBgn0001978	FBgn0001978	shuttle craft	stc
FBgn0001983	FBgn0001983	worniu	wor
FBgn0001986	FBgn0001986	Mtr4 helicase	Mtr4
FBgn0001987	FBgn0001987	Gliotactin	Gli
FBgn0001989	FBgn0001989	NADH dehydrogenase (ubiquinone) B17 subunit	ND-B17
FBgn0001990	FBgn0001990	weckle	wek
FBgn0001991	FBgn0001991	Ca[2+]-channel protein alpha[[1]] subunit D	Ca-alpha1D
FBgn0001992	FBgn0001992	Cyp303a1	Cyp303a1
FBgn0001994	FBgn0001994	cropped	crp
FBgn0001995	FBgn0001995	mitochondrial ribosomal protein L4	mRpL4
FBgn0002021	FBgn0002021	lethal (2) 37Bb	l(2)37Bb
FBgn0002022	FBgn0002022	Catecholamines up	Catsup
FBgn0002023	FBgn0002023	Lim3	Lim3
FBgn0002031	FBgn0002031	lethal (2) 37Cc	l(2)37Cc
FBgn0002036	FBgn0002036	-	CG10561
FBgn0002044	FBgn0002044	second mitotic wave missing	swm
FBgn0002069	FBgn0002069	Aspartyl-tRNA synthetase	AspRS
FBgn0002121	FBgn0002121	lethal (2) giant larvae	l(2)gl
FBgn0002174	FBgn0002174	-	CG5504
FBgn0002183	FBgn0002183	dre4	dre4
FBgn0002283	FBgn0002283	lethal (3) 73Ah	l(3)73Ah
FBgn0002284	FBgn0002284	Proteasome beta6 subunit	Prosbeta6
FBgn0002306	FBgn0002306	stranded at second	sas
FBgn0002354	FBgn0002354	lethal (3) 87Df	l(3)87Df
FBgn0002413	FBgn0002413	discs overgrown	dco
FBgn0002431	FBgn0002431	hyperplastic discs	hyd
FBgn0002440	FBgn0002440	lethal (3) malignant blood neoplasm	l(3)mbn
FBgn0002441	FBgn0002441	lethal (3) malignant brain tumor	l(3)mbt
FBgn0002466	FBgn0002466	sticky	sti
FBgn0002521	FBgn0002521	pleiohomeotic	pho
FBgn0002522	FBgn0002522	labial	lab
FBgn0002524	FBgn0002524	lace	lace
FBgn0002525	FBgn0002525	Lamin	Lam
FBgn0002526	FBgn0002526	Laminin A	LanA
FBgn0002531	FBgn0002531	Larval cuticle protein 1	Lcp1
FBgn0002533	FBgn0002533	Larval cuticle protein 2	Lcp2
FBgn0002534	FBgn0002534	Larval cuticle protein 3	Lcp3
FBgn0002535	FBgn0002535	Larval cuticle protein 4	Lcp4
FBgn0002542	FBgn0002542	lodestar	lds
FBgn0002543	FBgn0002543	roundabout 2	robo2
FBgn0002552	FBgn0002552	lines	lin
FBgn0002561	FBgn0002561	lethal of scute	l(1)sc
FBgn0002562	FBgn0002562	Larval serum protein 1 alpha	Lsp1alpha
FBgn0002563	FBgn0002563	Larval serum protein 1 beta	Lsp1beta
FBgn0002564	FBgn0002564	Larval serum protein 1 gamma	Lsp1gamma
FBgn0002565	FBgn0002565	Larval serum protein 2	Lsp2
FBgn0002566	FBgn0002566	light	lt
FBgn0002567	FBgn0002567	Rab32	Rab32
FBgn0002569	FBgn0002569	Maltase A2	Mal-A2
FBgn0002570	FBgn0002570	Maltase A1	Mal-A1
FBgn0002571	FBgn0002571	Maltase A3	Mal-A3
FBgn0002573	FBgn0002573	senseless	sens
FBgn0002576	FBgn0002576	lozenge	lz
FBgn0002577	FBgn0002577	miniature	m
FBgn0002578	FBgn0002578	Kazal-type protease inhibitor m1	Kaz-m1
FBgn0002579	FBgn0002579	Ribosomal protein L36	RpL36
FBgn0002590	FBgn0002590	Ribosomal protein S5a	RpS5a
FBgn0002592	FBgn0002592	Enhancer of split m2, Bearded family member	E(spl)m2-BFM
FBgn0002593	FBgn0002593	Ribosomal protein LP1	RpLP1
FBgn0002609	FBgn0002609	Enhancer of split m3, helix-loop-helix	E(spl)m3-HLH
FBgn0002622	FBgn0002622	Ribosomal protein S3	RpS3
FBgn0002626	FBgn0002626	Ribosomal protein L32	RpL32
FBgn0002629	FBgn0002629	Enhancer of split m4, Bearded family member	E(spl)m4-BFM
FBgn0002631	FBgn0002631	Enhancer of split m5, helix-loop-helix	E(spl)m5-HLH
FBgn0002632	FBgn0002632	Enhancer of split m6, Bearded family member	E(spl)m6-BFM
FBgn0002633	FBgn0002633	Enhancer of split m7, helix-loop-helix	E(spl)m7-HLH
FBgn0002638	FBgn0002638	Regulator of chromosome condensation 1	Rcc1
FBgn0002641	FBgn0002641	maroon-like	mal
FBgn0002643	FBgn0002643	mastermind	mam
FBgn0002645	FBgn0002645	Microtubule-associated protein 205	Map205
FBgn0002673	FBgn0002673	twine	twe
FBgn0002707	FBgn0002707	meiotic 9	mei-9
FBgn0002709	FBgn0002709	meiotic 218	mei-218
FBgn0002715	FBgn0002715	meiotic from via Salaria 332	mei-S332
FBgn0002716	FBgn0002716	meiotic W68	mei-W68
FBgn0002719	FBgn0002719	Malic enzyme	Men
FBgn0002723	FBgn0002723	Methoprene-tolerant	Met
FBgn0002732	FBgn0002732	Enhancer of split malpha, Bearded family member	E(spl)malpha-BFM
FBgn0002733	FBgn0002733	Enhancer of split mbeta, helix-loop-helix	E(spl)mbeta-HLH
FBgn0002734	FBgn0002734	Enhancer of split mdelta, helix-loop-helix	E(spl)mdelta-HLH
FBgn0002735	FBgn0002735	Enhancer of split mgamma, helix-loop-helix	E(spl)mgamma-HLH
FBgn0002736	FBgn0002736	mago nashi	mago
FBgn0002772	FBgn0002772	Myosin alkali light chain 1	Mlc1
FBgn0002773	FBgn0002773	Myosin light chain 2	Mlc2
FBgn0002774	FBgn0002774	maleless	mle
FBgn0002775	FBgn0002775	male-specific lethal 3	msl-3
FBgn0002778	FBgn0002778	minidiscs	mnd
FBgn0002780	FBgn0002780	modulo	mod
FBgn0002781	FBgn0002781	modifier of mdg4	mod(mdg4)
FBgn0002783	FBgn0002783	moira	mor
FBgn0002787	FBgn0002787	Regulatory particle non-ATPase 8	Rpn8
FBgn0002789	FBgn0002789	Muscle protein 20	Mp20
FBgn0002791	FBgn0002791	morula	mr
FBgn0002838	FBgn0002838	male sterile (3) K81	ms(3)K81
FBgn0002842	FBgn0002842	spermatocyte arrest	sa
FBgn0002855	FBgn0002855	Accessory gland protein 26Aa	Acp26Aa
FBgn0002856	FBgn0002856	Accessory gland protein 26Ab	Acp26Ab
FBgn0002862	FBgn0002862	Male-specific RNA 87F	Mst87F
FBgn0002863	FBgn0002863	Accessory gland protein 95EF	Acp95EF
FBgn0002865	FBgn0002865	Male-specific RNA 98Ca	Mst98Ca
FBgn0002868	FBgn0002868	Metallothionein A	MtnA
FBgn0002869	FBgn0002869	Metallothionein B	MtnB
FBgn0002872	FBgn0002872	mutator 2	mu2
FBgn0002873	FBgn0002873	mushroom body defect	mud
FBgn0002878	FBgn0002878	mutagen-sensitive 101	mus101
FBgn0002887	FBgn0002887	mutagen-sensitive 201	mus201
FBgn0002891	FBgn0002891	DNA polymerase zeta subunit 1	PolZ1
FBgn0002899	FBgn0002899	mutagen-sensitive 301	mus301
FBgn0002901	FBgn0002901	mutagen-sensitive 304	mus304
FBgn0002905	FBgn0002905	DNA polymerase theta	PolQ
FBgn0002906	FBgn0002906	Bloom syndrome helicase	Blm
FBgn0002909	FBgn0002909	mutagen-sensitive 312	mus312
FBgn0002914	FBgn0002914	Myb oncogene-like	Myb
FBgn0002917	FBgn0002917	narrow abdomen	na
FBgn0002921	FBgn0002921	Na pump alpha subunit	Atpalpha
FBgn0002922	FBgn0002922	nautilus	nau
FBgn0002924	FBgn0002924	non-claret disjunctional	ncd
FBgn0002926	FBgn0002926	nudel	ndl
FBgn0002930	FBgn0002930	necrotic	nec
FBgn0002931	FBgn0002931	net	net
FBgn0002932	FBgn0002932	neuralized	neur
FBgn0002933	FBgn0002933	new glue 1	ng1
FBgn0002936	FBgn0002936	neither inactivation nor afterpotential A	ninaA
FBgn0002937	FBgn0002937	neither inactivation nor afterpotential B	ninaB
FBgn0002938	FBgn0002938	neither inactivation nor afterpotential C	ninaC
FBgn0002939	FBgn0002939	neither inactivation nor afterpotential D	ninaD
FBgn0002940	FBgn0002940	neither inactivation nor afterpotential E	ninaE
FBgn0002941	FBgn0002941	slouch	slou
FBgn0002945	FBgn0002945	naked cuticle	nkd
FBgn0002948	FBgn0002948	no distributive disjunction	nod
FBgn0002962	FBgn0002962	nanos	nos
FBgn0002973	FBgn0002973	numb	numb
FBgn0002985	FBgn0002985	odd skipped	odd
FBgn0002989	FBgn0002989	okra	okr
